loan_id,document_status
LN-001,complete
LN-002,complete
LN-003,complete
LN-004,complete
LN-005,complete
LN-007,complete
LN-009,complete
LN-010,complete
LN-011,complete
LN-012,complete
LN-013,complete
LN-014,complete
LN-015,complete
LN-017,complete
LN-018,complete
LN-019,complete
LN-020,complete
LN-021,complete
LN-022,complete
LN-023,complete
LN-024,complete
LN-025,pending
LN-026,complete
LN-027,complete
LN-028,complete
LN-029,complete
LN-030,complete
LN-031,complete
LN-032,complete
LN-033,complete
LN-034,complete
LN-035,complete
LN-036,complete
LN-037,complete
LN-038,complete
LN-039,complete
LN-040,complete
LN-041,complete
LN-042,complete
LN-043,complete
LN-044,complete
LN-045,complete
LN-046,complete
LN-047,complete
LN-048,complete
LN-049,complete
LN-050,complete
