loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-001,BRW-101,conventional,2021-03-15,2051-03-15,350000,342000,4.5,360,TX,purchase,A,5 years,100000-150000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-002,BRW-102,conventional,2020-06-01,2050-06-01,425000,410000,3.875,360,CA,purchase,B,8 years,150000-200000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-003,BRW-103,fha,2022-01-10,2052-01-10,285000,280500,5.125,360,FL,purchase,C,2 years,75000-100000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-004,BRW-104,conventional,2019-11-20,2049-11-20,520000,488000,3.5,360,NY,purchase,A,12 years,200000+,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-005,BRW-105,va,2023-02-28,2053-02-28,310000,308000,4.0,360,GA,purchase,B,3 years,75000-100000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-006,,conventional,2021-08-15,2051-08-15,390000,381000,4.25,360,TX,refinance,B,6 years,100000-150000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-007,BRW-107,conventional,2020-03-10,2050-03-10,445000,430000,3.75,360,CA,purchase,A,10 years,150000-200000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-001,BRW-108,fha,2022-05-20,2052-05-20,265000,261000,5.25,360,FL,purchase,C,1 year,50000-75000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-009,BRW-109,conventional,2019-09-15,2049-09-15,480000,451000,3.625,360,WA,purchase,A,15 years,200000+,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-010,BRW-110,conventional,2021-12-01,2051-12-01,375000,368000,4.375,360,CO,refinance,B,7 years,100000-150000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-011,BRW-111,conventional,2052-06-15,2022-06-15,295000,289000,4.125,360,AZ,purchase,B,4 years,75000-100000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-012,BRW-112,fha,2021-07-20,2051-07-20,-50000,288000,4.875,360,NC,purchase,C,2 years,75000-100000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-013,BRW-113,conventional,2020-04-05,2050-04-05,415000,420000,3.875,360,VA,purchase,A,9 years,150000-200000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-014,BRW-114,conventional,2022-09-10,2052-09-10,355000,348000,28.5,360,TX,purchase,B,5 years,100000-150000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-015,BRW-115,fha,2021-03-25,2051-03-25,270000,264000,5.0,360,FL,purchase,C,3 years,75000-100000,paid_off,15,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-016,BRW-116,conventional,2020-08-12,2050-08-12,490000,480000,3.75,360,CA,purchase,A,11 years,200000+,current,0,FNB Servicing,2024-07-01,2024-07-15,,Encompass
LN-017,BRW-117,conventional,2023-01-05,2053-01-05,320000,314000,4.25,360,ZZ,refinance,B,2 years,75000-100000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-018,BRW-118,conventional,2019-06-20,2049-06-20,460000,432000,3.5,360,OR,purchase,A,14 years,200000+,current,0,FNB Servicing,2024-07-01,2022-09-01,complete,Encompass
LN-019,BRW-101,fha,2022-11-15,2052-11-15,285000,279000,5.125,360,TX,purchase,C,5 years,100000-150000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-020,BRW-101,conventional,2022-11-15,2052-11-15,285000,279000,4.875,360,TX,purchase,B,5 years,100000-150000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-021,BRW-121,conventional,2021-04-18,2051-04-18,380000,372000,4.125,360,MN,purchase,A,7 years,150000-200000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-022,BRW-122,fha,2020-09-22,2050-09-22,275000,265000,5.0,360,OH,purchase,C,3 years,75000-100000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-023,BRW-123,conventional,2022-02-14,2052-02-14,440000,433000,3.875,360,MA,purchase,A,9 years,150000-200000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-024,BRW-124,va,2021-10-30,2051-10-30,305000,298000,3.75,360,PA,purchase,B,6 years,100000-150000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-025,BRW-125,conventional,2023-03-12,2053-03-12,395000,391000,4.5,360,NJ,refinance,B,4 years,150000-200000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-026,BRW-126,conventional,2020-07-05,2050-07-05,515000,495000,3.625,360,WA,purchase,A,13 years,200000+,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-027,BRW-127,fha,2022-04-19,2052-04-19,255000,250000,5.25,360,TN,purchase,C,1 year,50000-75000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-028,BRW-128,conventional,2021-08-28,2051-08-28,435000,425000,4.0,360,MD,purchase,B,8 years,150000-200000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-029,BRW-129,conventional,2019-12-16,2049-12-16,475000,445000,3.5,360,MO,purchase,A,16 years,200000+,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-030,BRW-130,conventional,2022-06-08,2052-06-08,360000,353000,4.25,360,WI,refinance,B,5 years,100000-150000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-031,BRW-101,conventional,2020-01-15,2050-01-15,400000,392000,3.875,360,TX,purchase,A,5 years,150000-200000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-032,BRW-132,conventional,2023-04-22,2053-04-22,345000,341000,4.375,360,IN,purchase,B,2 years,75000-100000,delinquent,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-033,BRW-133,fha,2021-09-14,2051-09-14,280000,274000,4.875,360,KY,purchase,C,3 years,75000-100000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-034,BRW-134,conventional,2020-02-28,2050-02-28,455000,428000,3.75,360,MI,purchase,A,10 years,150000-200000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-035,BRW-135,conventional,2022-07-17,2052-07-17,370000,363000,4.25,360,LA,refinance,B,6 years,100000-150000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-036,BRW-136,conventional,2021-01-08,2051-01-08,500000,485000,3.625,360,NV,purchase,A,12 years,200000+,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-037,BRW-137,fha,2023-05-30,2053-05-30,265000,263000,5.375,360,KS,purchase,C,1 year,50000-75000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-038,BRW-138,conventional,2020-10-12,2050-10-12,420000,406000,3.875,360,UT,purchase,B,8 years,150000-200000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-039,BRW-139,conventional,2019-08-25,2049-08-25,465000,436000,3.5,360,NM,purchase,A,14 years,200000+,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-040,BRW-140,conventional,2022-03-07,2052-03-07,385000,378000,4.5,360,ID,refinance,B,4 years,100000-150000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-041,BRW-141,conventional,2021-06-22,2051-06-22,410000,401000,4.0,360,NE,purchase,A,7 years,150000-200000,closed,5000,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-042,BRW-142,fha,2020-11-18,2050-11-18,270000,262000,5.0,360,WV,purchase,C,2 years,75000-100000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-043,BRW-143,conventional,2022-08-04,2052-08-04,445000,437000,3.875,360,ME,purchase,B,9 years,150000-200000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-044,BRW-144,conventional,2021-02-19,2051-02-19,480000,462000,3.75,360,NH,purchase,A,10 years,200000+,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-045,BRW-145,va,2023-06-25,2053-06-25,330000,328000,4.125,360,VT,purchase,B,3 years,100000-150000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-046,BRW-146,conventional,2020-05-11,2050-05-11,510000,493000,3.5,360,RI,purchase,A,13 years,200000+,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-047,BRW-147,fha,2022-10-28,2052-10-28,260000,255000,5.125,360,MT,purchase,C,1 year,50000-75000,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-048,BRW-148,conventional,2021-07-16,2051-07-16,430000,420000,4.125,360,WY,purchase,B,7 years,150000-200000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
LN-049,BRW-149,conventional,2019-10-03,2049-10-03,470000,441000,3.625,360,ND,purchase,A,15 years,200000+,current,0,Acme Mortgage,2024-07-01,2024-07-15,complete,LendingPad
LN-050,BRW-150,conventional,2022-12-20,2052-12-20,365000,359000,4.375,360,SD,refinance,B,5 years,100000-150000,current,0,FNB Servicing,2024-07-01,2024-07-15,complete,Encompass
